receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std,t_above_threshold_mean,t_above_threshold_std,photosyntheticallyActiveRadiation_mean_mean
2024-07-05 06:00:00+00:00,104.0,,15.666666666666666,,21.96666666666667,,67.66666666666667,,0.8633333333333333,,16.1,,23.7,,73.2,,1.1,,15.3,,20.6,,62.5,,0.65,,0.0,,359.8
2024-07-05 07:00:00+00:00,105.0,,15.733333333333334,,25.3,,55.43333333333334,,1.4366666666666663,,15.9,,25.6,,56.4,,1.51,,15.6,,25.0,,53.9,,1.38,,0.0,,634.7666666666667
2024-07-05 08:00:00+00:00,106.0,,16.466666666666665,,27.7,,50.43333333333334,,1.846666666666667,,16.7,,28.7,,53.3,,2.04,,16.2,,26.8,,48.2,,1.65,,2.7,,860.9333333333334
2024-07-05 09:00:00+00:00,107.0,,18.933333333333334,,30.133333333333336,,51.26666666666667,,2.0933333333333333,,19.7,,31.1,,55.7,,2.45,,18.0,,28.8,,45.7,,1.75,,5.133333333333336,,1033.3333333333333
2024-07-05 10:00:00+00:00,108.0,,18.366666666666667,,31.066666666666663,,46.833333333333336,,2.396666666666667,,19.6,,31.1,,50.5,,2.56,,17.0,,31.0,,43.0,,2.24,,6.066666666666666,,1056.2
2024-07-05 11:00:00+00:00,109.0,,19.366666666666667,,31.866666666666664,,47.5,,2.48,,20.3,,32.2,,49.3,,2.57,,18.6,,31.3,,46.3,,2.43,,6.866666666666664,,929.2666666666668
2024-07-05 12:00:00+00:00,110.0,,20.8,,34.03333333333333,,45.9,,2.8833333333333333,,21.7,,34.3,,48.3,,2.98,,19.5,,33.7,,43.1,,2.77,,9.033333333333331,,837.3666666666667
2024-07-05 13:00:00+00:00,111.0,,19.33333333333333,,34.333333333333336,,41.266666666666666,,3.18,,20.6,,34.6,,44.9,,3.46,,17.9,,34.2,,37.0,,2.96,,9.333333333333336,,1066.6
2024-07-05 14:00:00+00:00,112.0,,19.4,,36.266666666666666,,37.06666666666666,,3.793333333333333,,20.5,,36.9,,38.3,,3.85,,18.1,,35.5,,35.6,,3.72,,11.266666666666666,,925.8666666666668
2024-07-05 15:00:00+00:00,113.0,,18.1,,30.46666666666667,,48.1,,2.3166666666666664,,18.5,,33.5,,54.4,,3.15,,17.8,,28.1,,39.2,,1.73,,5.466666666666669,,338.76666666666665
2024-07-05 16:00:00+00:00,114.0,,18.266666666666666,,26.866666666666664,,59.53333333333334,,1.4400000000000002,,18.6,,28.1,,64.9,,1.67,,17.7,,25.7,,56.1,,1.16,,1.866666666666664,,169.36666666666667
2024-07-05 17:00:00+00:00,115.0,,18.566666666666663,,24.8,,68.33333333333333,,0.9966666666666668,,19.1,,25.8,,70.5,,1.12,,17.9,,23.6,,66.4,,0.86,,0.0,,117.8
