,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean
1000,2025-05-15 02:00:00+00:00,8.433333333333332,8.466666666666667,99.60000000000001,0.0033333333333333335
1001,2025-05-15 03:00:00+00:00,8.266666666666666,8.266666666666666,100.0,0.0
1002,2025-05-15 04:00:00+00:00,9.200000000000001,9.266666666666666,99.5,0.0033333333333333335
1003,2025-05-15 05:00:00+00:00,12.266666666666666,14.800000000000002,85.46666666666665,0.26666666666666666
1004,2025-05-15 06:00:00+00:00,15.066666666666668,23.366666666666664,59.699999999999996,1.1633333333333333
1005,2025-05-15 07:00:00+00:00,17.533333333333335,28.433333333333334,51.73333333333333,1.8833333333333335
1006,2025-05-15 08:00:00+00:00,17.833333333333332,30.766666666666666,46.03333333333333,2.393333333333333
1007,2025-05-15 09:00:00+00:00,18.366666666666664,32.0,44.53333333333333,2.6366666666666667
1008,2025-05-15 10:00:00+00:00,17.400000000000002,30.400000000000002,45.800000000000004,2.3733333333333335
1009,2025-05-15 11:00:00+00:00,15.866666666666667,31.833333333333332,38.166666666666664,2.94
1010,2025-05-15 12:00:00+00:00,14.966666666666667,33.6,32.53333333333333,3.52
1011,2025-05-15 13:00:00+00:00,15.666666666666666,34.36666666666667,32.800000000000004,3.72
1012,2025-05-15 14:00:00+00:00,16.633333333333333,31.900000000000002,40.03333333333333,2.8433333333333337
1013,2025-05-15 15:00:00+00:00,15.533333333333333,29.366666666666664,43.86666666666667,2.4166666666666665
1014,2025-05-15 16:00:00+00:00,12.833333333333334,20.900000000000002,60.23333333333333,0.9866666666666667
1015,2025-05-15 17:00:00+00:00,13.166666666666666,18.366666666666667,71.7,0.6
1016,2025-05-15 18:00:00+00:00,12.233333333333334,16.166666666666668,77.7,0.4066666666666667
1017,2025-05-15 19:00:00+00:00,11.466666666666667,14.266666666666666,83.39999999999999,0.27
1018,2025-05-15 20:00:00+00:00,11.200000000000001,13.700000000000001,85.03333333333333,0.2366666666666667
1019,2025-05-15 21:00:00+00:00,9.9,12.733333333333334,83.16666666666667,0.25
1020,2025-05-15 22:00:00+00:00,9.8,11.6,88.96666666666665,0.15000000000000002
1021,2025-05-15 23:00:00+00:00,9.133333333333333,10.799999999999999,89.7,0.13333333333333333
1022,2025-05-16 00:00:00+00:00,8.9,10.033333333333333,92.63333333333333,0.09000000000000001
1023,2025-05-16 01:00:00+00:00,8.1,8.933333333333334,94.46666666666665,0.06333333333333334
1024,2025-05-16 02:00:00+00:00,7.45,8.5,93.15,0.07500000000000001
1025,2025-05-16 03:00:00+00:00,6.6000000000000005,7.5,94.23333333333333,0.06333333333333334
1026,2025-05-16 04:00:00+00:00,7.166666666666667,8.233333333333333,93.2,0.07666666666666667
1027,2025-05-16 05:00:00+00:00,9.533333333333333,13.799999999999999,76.06666666666666,0.39666666666666667
1028,2025-05-16 06:00:00+00:00,11.333333333333334,22.96666666666667,48.23333333333333,1.47
1029,2025-05-16 07:00:00+00:00,7.833333333333333,24.7,34.4,2.0566666666666666
