waterTension;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
6;100;3540;2024-07-03T09:31:57.034298072Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T09:51:56.963383496Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T10:11:56.922310803Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T10:51:56.818899627Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T11:11:56.771580832Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T11:31:56.708068328Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T11:51:56.662360207Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T12:11:56.611496800Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T12:31:56.541406388Z;1038;santorsola-tensio-5
6;100;3540;2024-07-03T12:51:56.501427398Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T13:11:56.437864799Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T13:31:56.395783704Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T13:51:56.342592143Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T14:11:56.289067592Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T14:31:56.228772532Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T14:51:56.196977090Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T15:11:56.133533774Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T15:31:56.063444850Z;1038;santorsola-tensio-5
6;100;3537;2024-07-03T15:51:56.027772626Z;1038;santorsola-tensio-5
6;100;3535;2024-07-03T16:11:55.941885322Z;1038;santorsola-tensio-5
6;100;3535;2024-07-03T16:31:55.886991100Z;1038;santorsola-tensio-5
6;100;3533;2024-07-03T16:51:55.828985100Z;1038;santorsola-tensio-5
6;100;3533;2024-07-03T17:11:55.767879304Z;1038;santorsola-tensio-5
6;100;3532;2024-07-03T17:31:55.714502042Z;1038;santorsola-tensio-5
5;100;3532;2024-07-03T17:51:55.642919100Z;1038;santorsola-tensio-5
5;100;3530;2024-07-03T18:11:55.629922424Z;1038;santorsola-tensio-5
6;100;3528;2024-07-03T18:31:55.524032111Z;1038;santorsola-tensio-5
5;100;3528;2024-07-03T18:51:55.466399609Z;1038;santorsola-tensio-5
6;100;3526;2024-07-03T19:11:55.403504783Z;1038;santorsola-tensio-5
5;100;3526;2024-07-03T19:31:55.338287100Z;1038;santorsola-tensio-5
5;100;3525;2024-07-03T19:51:55.279356746Z;1038;santorsola-tensio-5
5;100;3525;2024-07-03T20:11:55.219784426Z;1038;santorsola-tensio-5
5;100;3523;2024-07-03T20:31:55.159769562Z;1038;santorsola-tensio-5
5;100;3523;2024-07-03T20:51:55.069006953Z;1038;santorsola-tensio-5
5;100;3521;2024-07-03T21:11:55.024288186Z;1038;santorsola-tensio-5
6;100;3521;2024-07-03T21:31:54.959244129Z;1038;santorsola-tensio-5
5;100;3519;2024-07-03T21:51:54.884357293Z;1038;santorsola-tensio-5
5;100;3519;2024-07-03T22:11:54.828629920Z;1038;santorsola-tensio-5
5;100;3518;2024-07-03T22:31:54.766874023Z;1038;santorsola-tensio-5
5;100;3518;2024-07-03T22:51:54.701584483Z;1038;santorsola-tensio-5
5;100;3516;2024-07-03T23:11:54.635788106Z;1038;santorsola-tensio-5
5;100;3516;2024-07-03T23:31:54.575552519Z;1038;santorsola-tensio-5
5;100;3514;2024-07-03T23:51:54.512866101Z;1038;santorsola-tensio-5
5;100;3514;2024-07-04T00:11:54.448800451Z;1038;santorsola-tensio-5
5;100;3512;2024-07-04T00:31:54.377564264Z;1038;santorsola-tensio-5
5;100;3512;2024-07-04T00:51:54.312062475Z;1038;santorsola-tensio-5
5;100;3510;2024-07-04T01:11:54.265461513Z;1038;santorsola-tensio-5
5;100;3510;2024-07-04T01:31:54.191679613Z;1038;santorsola-tensio-5
5;100;3509;2024-07-04T01:51:54.121458042Z;1038;santorsola-tensio-5
5;100;3509;2024-07-04T02:11:54.055394124Z;1038;santorsola-tensio-5
5;100;3507;2024-07-04T02:51:53.931317063Z;1038;santorsola-tensio-5
5;100;3507;2024-07-04T03:11:53.874967816Z;1038;santorsola-tensio-5
5;100;3505;2024-07-04T03:31:53.811241978Z;1038;santorsola-tensio-5
5;100;3505;2024-07-04T03:51:53.738154577Z;1038;santorsola-tensio-5
5;100;3503;2024-07-04T04:31:53.610801263Z;1038;santorsola-tensio-5
5;100;3502;2024-07-04T04:51:53.547901655Z;1038;santorsola-tensio-5
5;100;3502;2024-07-04T05:11:53.492560050Z;1038;santorsola-tensio-5
5;100;3526;2024-07-04T05:31:53.423231271Z;1038;santorsola-tensio-5
5;100;3539;2024-07-04T05:51:53.363876097Z;1038;santorsola-tensio-5
6;100;3546;2024-07-04T06:11:53.315748762Z;1038;santorsola-tensio-5
5;100;3542;2024-07-04T06:31:53.256440315Z;1038;santorsola-tensio-5
6;100;3540;2024-07-04T06:51:53.200396790Z;1038;santorsola-tensio-5
5;100;3539;2024-07-04T07:11:53.139209072Z;1038;santorsola-tensio-5
6;100;3537;2024-07-04T07:31:53.090639806Z;1038;santorsola-tensio-5
6;100;3535;2024-07-04T07:51:53.031892728Z;1038;santorsola-tensio-5
6;100;3535;2024-07-04T08:11:52.983393482Z;1038;santorsola-tensio-5
6;100;3533;2024-07-04T08:31:52.931483358Z;1038;santorsola-tensio-5
7;100;3533;2024-07-04T08:51:52.883588653Z;1038;santorsola-tensio-5
7;100;3532;2024-07-04T09:11:52.846131567Z;1038;santorsola-tensio-5
7;100;3530;2024-07-04T09:31:52.800573105Z;1038;santorsola-tensio-5
7;100;3530;2024-07-04T09:51:52.749739983Z;1038;santorsola-tensio-5
7;100;3528;2024-07-04T10:11:52.719790449Z;1038;santorsola-tensio-5
7;100;3526;2024-07-04T10:31:52.680052618Z;1038;santorsola-tensio-5
7;100;3526;2024-07-04T10:51:52.645887261Z;1038;santorsola-tensio-5
7;100;3525;2024-07-04T11:11:52.605941952Z;1038;santorsola-tensio-5
7;100;3525;2024-07-04T11:31:52.569743622Z;1038;santorsola-tensio-5
7;100;3523;2024-07-04T11:51:52.535598370Z;1038;santorsola-tensio-5
7;100;3523;2024-07-04T12:11:52.504033631Z;1038;santorsola-tensio-5
7;100;3523;2024-07-04T12:31:52.474387522Z;1038;santorsola-tensio-5
7;100;3521;2024-07-04T12:51:52.447517194Z;1038;santorsola-tensio-5
7;100;3519;2024-07-04T13:11:52.420708420Z;1038;santorsola-tensio-5
7;100;3519;2024-07-04T13:31:52.396066086Z;1038;santorsola-tensio-5
7;100;3523;2024-07-04T13:51:52.371170766Z;1038;santorsola-tensio-5
7;100;3523;2024-07-04T14:11:52.360894351Z;1038;santorsola-tensio-5
7;100;3525;2024-07-04T14:31:52.314992080Z;1038;santorsola-tensio-5
7;100;3525;2024-07-04T14:51:52.282373487Z;1038;santorsola-tensio-5
7;100;3530;2024-07-04T15:11:52.251397394Z;1038;santorsola-tensio-5
7;100;3528;2024-07-04T15:31:52.209373991Z;1038;santorsola-tensio-5
7;100;3532;2024-07-04T15:51:52.163233939Z;1038;santorsola-tensio-5
7;100;3533;2024-07-04T16:11:52.123453640Z;1038;santorsola-tensio-5
7;100;3533;2024-07-04T16:31:52.085991954Z;1038;santorsola-tensio-5
6;100;3533;2024-07-04T16:51:52.037009094Z;1038;santorsola-tensio-5
6;100;3533;2024-07-04T17:11:51.980702332Z;1038;santorsola-tensio-5
6;100;3533;2024-07-04T17:31:51.925487814Z;1038;santorsola-tensio-5
6;100;3533;2024-07-04T17:51:51.874815915Z;1038;santorsola-tensio-5
5;100;3532;2024-07-04T18:11:51.812123021Z;1038;santorsola-tensio-5
6;100;3532;2024-07-04T18:31:51.755023821Z;1038;santorsola-tensio-5
6;100;3530;2024-07-04T18:51:51.692744259Z;1038;santorsola-tensio-5
6;100;3530;2024-07-04T19:11:51.639999454Z;1038;santorsola-tensio-5
6;100;3530;2024-07-04T19:31:51.576228901Z;1038;santorsola-tensio-5
5;100;3528;2024-07-04T19:51:51.519074636Z;1038;santorsola-tensio-5
6;100;3528;2024-07-04T20:11:51.448298145Z;1038;santorsola-tensio-5
6;100;3526;2024-07-04T20:31:51.377169964Z;1038;santorsola-tensio-5
6;100;3526;2024-07-04T20:51:51.354535957Z;1038;santorsola-tensio-5
5;100;3525;2024-07-04T21:11:51.275666462Z;1038;santorsola-tensio-5
5;100;3525;2024-07-04T21:31:51.197294353Z;1038;santorsola-tensio-5
5;100;3523;2024-07-04T21:51:51.160032171Z;1038;santorsola-tensio-5
5;100;3521;2024-07-04T22:11:51.076945867Z;1038;santorsola-tensio-5
5;100;3521;2024-07-04T22:31:51.002934400Z;1038;santorsola-tensio-5
5;100;3521;2024-07-04T22:51:50.942824082Z;1038;santorsola-tensio-5
5;100;3519;2024-07-04T23:11:50.871751391Z;1038;santorsola-tensio-5
6;100;3518;2024-07-04T23:31:50.814802746Z;1038;santorsola-tensio-5
5;100;3518;2024-07-04T23:51:50.756073363Z;1038;santorsola-tensio-5
5;100;3518;2024-07-05T00:11:50.685579857Z;1038;santorsola-tensio-5
5;100;3516;2024-07-05T00:31:50.627206302Z;1038;santorsola-tensio-5
6;100;3516;2024-07-05T00:51:50.544855518Z;1038;santorsola-tensio-5
5;100;3514;2024-07-05T01:11:50.485301556Z;1038;santorsola-tensio-5
5;100;3514;2024-07-05T01:31:50.422556726Z;1038;santorsola-tensio-5
5;100;3512;2024-07-05T01:51:50.363470069Z;1038;santorsola-tensio-5
5;100;3512;2024-07-05T02:11:50.294785667Z;1038;santorsola-tensio-5
5;100;3510;2024-07-05T02:31:50.282930079Z;1038;santorsola-tensio-5
5;100;3510;2024-07-05T02:51:50.205972263Z;1038;santorsola-tensio-5
5;100;3509;2024-07-05T03:11:50.120460043Z;1038;santorsola-tensio-5
5;100;3509;2024-07-05T03:31:50.048314699Z;1038;santorsola-tensio-5
5;100;3507;2024-07-05T03:51:49.980680823Z;1038;santorsola-tensio-5
5;100;3507;2024-07-05T04:11:49.910412892Z;1038;santorsola-tensio-5
5;100;3505;2024-07-05T04:31:49.859392608Z;1038;santorsola-tensio-5
5;100;3505;2024-07-05T04:51:49.784883909Z;1038;santorsola-tensio-5
5;100;3505;2024-07-05T05:11:49.732301020Z;1038;santorsola-tensio-5
5;100;3518;2024-07-05T05:31:49.659163607Z;1038;santorsola-tensio-5
5;100;3540;2024-07-05T05:51:49.599628755Z;1038;santorsola-tensio-5
6;100;3540;2024-07-05T06:11:49.542783644Z;1038;santorsola-tensio-5
5;100;3539;2024-07-05T06:31:49.491920006Z;1038;santorsola-tensio-5
5;100;3537;2024-07-05T06:51:49.422536618Z;1038;santorsola-tensio-5
6;100;3535;2024-07-05T07:11:49.378217053Z;1038;santorsola-tensio-5
6;100;3535;2024-07-05T07:31:49.326915775Z;1038;santorsola-tensio-5
7;100;3533;2024-07-05T07:51:49.277600035Z;1038;santorsola-tensio-5
7;100;3535;2024-07-05T08:11:49.243674772Z;1038;santorsola-tensio-5
7;100;3533;2024-07-05T08:31:49.180246169Z;1038;santorsola-tensio-5
7;100;3532;2024-07-05T08:51:49.167094152Z;1038;santorsola-tensio-5
7;100;3532;2024-07-05T09:11:49.089645224Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T09:31:49.085929512Z;1038;santorsola-tensio-5
7;100;3528;2024-07-05T09:51:49.021567707Z;1038;santorsola-tensio-5
7;100;3526;2024-07-05T10:11:48.980084011Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T10:31:48.941536754Z;1038;santorsola-tensio-5
7;100;3528;2024-07-05T10:51:48.930333710Z;1038;santorsola-tensio-5
7;100;3526;2024-07-05T11:11:48.884435814Z;1038;santorsola-tensio-5
7;100;3526;2024-07-05T11:31:48.857210353Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T11:51:48.825616964Z;1038;santorsola-tensio-5
7;100;3526;2024-07-05T12:11:48.788948648Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T12:31:48.754949735Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T12:51:48.764377328Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T13:11:48.703821337Z;1038;santorsola-tensio-5
7;100;3525;2024-07-05T13:31:48.677973644Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T13:51:48.645394137Z;1038;santorsola-tensio-5
7;100;3521;2024-07-05T14:11:48.616055294Z;1038;santorsola-tensio-5
7;100;3521;2024-07-05T14:31:48.600028578Z;1038;santorsola-tensio-5
7;100;3519;2024-07-05T14:51:48.571522904Z;1038;santorsola-tensio-5
7;100;3525;2024-07-05T15:11:48.543189864Z;1038;santorsola-tensio-5
7;100;3528;2024-07-05T15:31:48.505529303Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T15:51:48.471685153Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T16:11:48.414282160Z;1038;santorsola-tensio-5
7;100;3532;2024-07-05T16:31:48.365891254Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T16:51:48.308171410Z;1038;santorsola-tensio-5
7;100;3530;2024-07-05T17:11:48.264156706Z;1038;santorsola-tensio-5
6;100;3530;2024-07-05T17:31:48.206203185Z;1038;santorsola-tensio-5
6;100;3528;2024-07-05T17:51:48.163951132Z;1038;santorsola-tensio-5
7;100;3528;2024-07-05T18:11:48.128380066Z;1038;santorsola-tensio-5
7;100;3526;2024-07-05T18:31:48.040759353Z;1038;santorsola-tensio-5
6;100;3526;2024-07-05T18:51:47.986539217Z;1038;santorsola-tensio-5
6;100;3525;2024-07-05T19:11:47.927047377Z;1038;santorsola-tensio-5
6;100;3525;2024-07-05T19:31:47.869216576Z;1038;santorsola-tensio-5
7;100;3523;2024-07-05T19:51:47.809011212Z;1038;santorsola-tensio-5
